COD_CF_Fornitore,Data_documento,ID_documento,Descrizione,Codice_articolo,Codice_variante,Codice_categoria,Unita_misura,Quantita_um,Prezzo_netto_vu,importo
2477,2016-10-06,2016-BADDV-0000045,"VITE AUTOFORANTE TPS ZN 4,2x13",017.PM303,0,10.30.50.10.030,PZ,16000.0,0.00713,114.08
2477,2016-10-06,2016-BADDV-0000045,TASSELLO A ESPANSIONE 6x38,017.PM323,0,10.30.50.10.030,PZ,2400.0,0.02125,51.0
2477,2016-10-06,2016-BADDV-0000045,"VITE AUTOFORANTE 3,5x35",017.PM499,0,10.30.50.10.030,PZ,4000.0,0.00487,19.48
2477,2016-10-06,2016-BADDV-0000045,"VITE AUTOFORANTE TPS ZN 3,5x38",017.PM313,0,10.30.50.10.030,PZ,6000.0,0.00741,44.46
597,2016-10-04,2016-BADDV-0000047,ANTA APRIBILE IN ACCIAIO VERNICIATO SX 948 X 2043,017.PM105.07,1,10.30.50.10.140,PZ,1.0,247.0,247.0
597,2016-10-04,2016-BADDV-0000047,ANTA SEMIFISSA IN ACCIAIO VERNICIATO DX 945 X 2043,017.PM105.11,1,10.30.50.10.140,PZ,1.0,247.0,247.0
3302,2016-09-30,2016-BADDV-0000049,LAMIERA ALLUMINIO ANODIZZATA,017.PM206AN,5,10.30.20.10.30.02,KG,302.0,4.5,1359.0
3302,2016-09-30,2016-BADDV-0000049,LAMIERA ALLUMINIO ANODIZZATA,017.PM206AN,5,10.30.20.10.30.02,KG,132.0,4.5,594.0
1964,2016-10-13,2016-BADDV-0000055,VETRO STRATIFICATO 3+3,017.PM152,894,10.30.40.10.10,MQ,4.9,25.5,124.95
2469,2016-10-11,2016-BADDV-0000056,VITE TBL ZN 4x22,017.PM482,0,10.30.50.10.030,PZ,2000.0,0.0079,15.8
2469,2016-10-11,2016-BADDV-0000056,"VITE EURO TPS NI 6,3X14",017.PM309,0,10.30.50.10.030,PZ,50000.0,0.015,750.0
2469,2016-10-11,2016-BADDV-0000056,CERNIERA SALICE PER ANTINA CIECA 110°,017.PM524,0,10.30.50.10.040,PZ,500.0,1.3806,690.3
2469,2016-10-11,2016-BADDV-0000056,PLACCHETTA COPRIVITE SALICE PER CERNIERA MOBILI,017.PM526,0,10.30.50.10.040,PZ,500.0,0.0519,25.95
2469,2016-10-11,2016-BADDV-0000056,28224703 REGGIPIANO NICHELATO,017.PM453,0,10.30.50.10.180,PZ,2000.0,0.0442,88.4
2469,2016-10-13,2016-BADDV-0000057,BASE SALICE PER CERNIERA H=0,017.PM525,0,10.30.50.10.040,PZ,500.0,0.4956,247.8
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. DX IN CRISTALLO SATINATO 895x2040,017.PM107.001,0,10.30.40.10.20,PZ,42.0,94.0,3948.0
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. SX IN CRISTALLO SATINATO 895x2040,017.PM107.003,0,10.30.40.10.20,PZ,18.0,94.0,1692.0
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,3,10.30.40.10.10,MQ,55.96,23.30004,1303.87
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. DX IN CRISTALLO SATINATO 895x2040,017.PM107.001,0,10.30.40.10.20,PZ,2.0,94.0,188.0
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. SX IN CRISTALLO SATINATO 895x2040,017.PM107.003,0,10.30.40.10.20,PZ,8.0,94.0,752.0
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,43,10.30.40.10.10,MQ,8.71,11.50057,100.17
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. DX IN CRISTALLO SATINATO 895x2040,017.PM107.001,0,10.30.40.10.20,PZ,5.0,94.0,470.0
2521,2016-10-12,2016-BADDV-0000058,ANTA APR. SX IN CRISTALLO SATINATO 895x2040,017.PM107.003,0,10.30.40.10.20,PZ,17.0,94.0,1598.0
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,3,10.30.40.10.10,MQ,24.48,23.29984,570.38
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,244,10.30.40.10.10,MQ,5.47,23.29982,127.45
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,275,10.30.40.10.10,MQ,49.28,11.5,566.72
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,680,10.30.40.10.10,MQ,22.3,11.5,256.45
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,883,10.30.40.10.10,MQ,5.02,11.5,57.73
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,884,10.30.40.10.10,MQ,5.02,11.5,57.73
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,885,10.30.40.10.10,MQ,4.93,11.50101,56.7
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,886,10.30.40.10.10,MQ,4.93,11.50101,56.7
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,887,10.30.40.10.10,MQ,4.73,11.50106,54.4
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,888,10.30.40.10.10,MQ,4.73,11.50106,54.4
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,889,10.30.40.10.10,MQ,49.28,11.5,566.72
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,890,10.30.40.10.10,MQ,1.12,11.5,12.88
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,891,10.30.40.10.10,MQ,1.16,11.5,13.34
2521,2016-10-12,2016-BADDV-0000058,VETRO STRATIFICATO 3+3,017.PM152,892,10.30.40.10.10,MQ,1.64,11.5,18.86
3131,2016-10-18,2016-BADDV-0000059,"PANNELLO GREZZO PER PORTA COMPOSTO DA PERIMETRALE IN ABETE, INTERNO IN NIDO D'APE E RIVESTIMENTO IN MDF GREZZO. SPESSORE TOTALE 42_x000D_915x2060_x000D_",027.101TEL,0,10.30.30.10.50,PZ,10.0,45.0,450.0
3131,2016-10-18,2016-BADDV-0000059,"PANNELLO GREZZO PER PORTA COMPOSTO DA PERIMETRALE IN ABETE, INTERNO IN NIDO D'APE E RIVESTIMENTO IN MDF GREZZO. SPESSORE TOTALE 40_x000D_967x2022_x000D_",027.104TEL,0,10.30.30.10.50,PZ,3.0,70.0,210.0
3280,2016-10-21,2016-BADDV-0000061,SQUADRETTA SERRAGGIO TELAIO VETRO ALLUMINIO,017.PM465,0,10.30.50.10.180,PZ,600.0,0.3415,204.9
1964,2016-10-21,2016-BADDV-0000063,VETRO STRATIFICATO 3+3,017.PM152,3,10.30.40.10.10,MQ,1.75,25.50286,44.63
2477,2016-10-27,2016-BADDV-0000065,LASTRA CARTONGESSO BA13,017.PM355,0,10.30.50.10.100,MQ,432.0,1.68,725.76
2477,2016-10-27,2016-BADDV-0000065,LASTRA CARTONGESSO BA13 GYPROC LA DURA,017.PM355,0,10.30.50.10.100,MQ,32.4,3.4,110.16
3018,2016-10-21,2016-BADDV-0000066,PIEDINO LIVELLATORE PER VETRO composto da:_x000D_Base filettata in alluminio_x000D_Perno filettato M6 x 20_x000D_,090.VP100,0,10.30.50.10.300.11,PZ,2000.0,0.73,1460.0
523,2016-10-10,2016-BADDV-0000067,BORDO IN ABS,017.PM056,47,10.30.30.10.20,ML,2100.0,0.161,338.1
1801,2016-10-25,2016-BADDV-0000073,PELLICOLA SATINATA ADESIVA PER VETRO_x000D_con posa presso ns. sede,017.PM163,0,10.30.40.10.40,MQ,29.0,30.0,870.0
1801,2016-10-25,2016-BADDV-0000073,PELLICOLA ADESIVA PER VETRO LOGHI COLORATI,017.PM163,0,10.30.40.10.40,MQ,1.0,40.0,40.0
3078,2016-10-25,2016-BADDV-0000074,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,7,10.30.30.10.30,NR,4.0,36.14,144.56
3078,2016-10-28,2016-BADDV-0000075,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,11,10.30.30.10.30,NR,10.0,36.014,360.14
3078,2016-10-28,2016-BADDV-0000075,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,10,10.30.30.10.30,NR,16.0,36.01438,576.23
3078,2016-10-28,2016-BADDV-0000075,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,9,10.30.30.10.30,NR,11.0,36.01455,396.16
3078,2016-10-28,2016-BADDV-0000075,TRUCIOLARE NOBILITATO STD 3050x2070,017.PM051.FF,9,10.30.30.10.10.30,MQ,157.84,6.12998,967.54
3078,2016-10-28,2016-BADDV-0000075,TRUCIOLARE NOBILITATO STD 3050x2070,017.PM051.FF,10,10.30.30.10.10.30,MQ,25.25,6.1299,154.78
3078,2016-10-28,2016-BADDV-0000075,TRUCIOLARE NOBILITATO IGNIFUGO 3050x2070,017.PM052.FF,7,10.30.30.10.10.30,MQ,37.88,9.15998,346.98
3078,2016-10-28,2016-BADDV-0000075,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,12,10.30.30.10.30,NR,3.0,36.01333,108.04
3078,2016-10-28,2016-BADDV-0000075,FOGLIO LAMINATO 3050x2050 sp.1,017.PM055.H,7,10.30.30.10.30,NR,12.0,36.01417,432.17
3406,2016-10-31,2016-BADDV-0000077,VERNICIATURA PROFILI VARI COLORE RAL 7021 OPACO_x000D_-70 barre TP.002AN_x000D_-70 barre TP.008AN_x000D_-10 barre TP.102BAN,017.PM496,0,10.30.50.10.190,ML,915.0,1.19781,1096.0
2521,2016-10-12,2016-BADDV-0000079,ANTA APR. DX IN CRISTALLO SATINATO 895x2040,017.PM107.001,0,10.30.40.10.20,PZ,1.0,20.0,20.0
2521,2016-10-12,2016-BADDV-0000079,ANTA APR. SX IN CRISTALLO SATINATO 895x2040,017.PM107.003,0,10.30.40.10.20,PZ,9.0,50.0,450.0
2362,2016-11-04,2016-BADDV-0000080,GUARNIZIONE PER VETRO MONOLASTRA,090.TP004,0,10.30.50.10.300.10,ML,504.0,0.94375,475.65
3011,2016-10-25,2016-BADDV-0000081,STAFFA DI COL. PROF. BASE E MOD. TECNICO,091.NWSQ011,0,10.30.50.10.305,PZ,200.0,2.8,560.0
3011,2016-10-25,2016-BADDV-0000081,"STAFFA COLLEG. A ""L"" TRA TELAIO PORTA E PARETE",090.VP140,0,10.30.50.10.300.11,PZ,80.0,3.4,272.0
3011,2016-10-25,2016-BADDV-0000081,STAFFA COLLEGAMENTO STIPITI PORTA,090.VP150,0,10.30.50.10.300.11,PZ,10.0,3.1,31.0
682,2016-09-23,2016-BADDV-0000083,PIEDINO LIVELLATORE PER VETRO,090.VP100,0,10.30.50.10.300.11,PZ,50.0,3.735,186.75
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,390,10.30.40.10.50,MQ,2.46,20.5,50.43
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,391,10.30.40.10.50,MQ,11.5,20.5,235.75
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,392,10.30.40.10.50,MQ,0.74,20.5,15.17
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,393,10.30.40.10.50,MQ,0.62,20.5,12.71
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,394,10.30.40.10.50,MQ,1.83,20.50273,37.52
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,395,10.30.40.10.50,MQ,60.78,24.33712,1479.21
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,396,10.30.40.10.50,MQ,2.64,20.5,54.12
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,397,10.30.40.10.50,MQ,1.42,20.5,29.11
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,398,10.30.40.10.50,MQ,1.47,20.5034,30.14
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,399,10.30.40.10.50,MQ,2.48,20.5,50.84
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,400,10.30.40.10.50,MQ,43.54,20.5,892.57
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,401,10.30.40.10.50,MQ,2.88,20.5,59.04
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,402,10.30.40.10.50,MQ,5.06,20.5,103.73
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,403,10.30.40.10.50,MQ,24.05,20.50021,493.03
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,404,10.30.40.10.50,MQ,4.93,20.50101,101.07
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,405,10.30.40.10.50,MQ,5.04,20.5,103.32
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,406,10.30.40.10.50,MQ,2.9,20.5,59.45
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO OPACO 5+5,090.VSO55,20,10.30.40.10.50,MQ,2.97,35.10101,104.25
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,407,10.30.40.10.50,MQ,0.61,20.5082,12.51
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,408,10.30.40.10.50,MQ,3.84,20.5,78.72
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,409,10.30.40.10.50,MQ,4.94,20.5,101.27
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,410,10.30.40.10.50,MQ,3.64,20.5,74.62
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,411,10.30.40.10.50,MQ,1.96,20.5,40.18
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,412,10.30.40.10.50,MQ,1.98,20.5,40.59
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,413,10.30.40.10.50,MQ,2.03,20.50246,41.62
2521,2016-11-09,2016-BADDV-0000085,VETRO STRATIFICATO TRASPARENTE 5+5,090.VST55,414,10.30.40.10.50,MQ,2.04,20.5,41.82
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,6,10.30.40.10.50,MQ,47.83,23.0,1100.09
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,7,10.30.40.10.50,MQ,7.73,23.0,177.79
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,8,10.30.40.10.50,MQ,1.42,23.0,32.66
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,9,10.30.40.10.50,MQ,7.58,23.0,174.34
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,10,10.30.40.10.50,MQ,8.15,23.0,187.45
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,11,10.30.40.10.50,MQ,12.22,23.0,281.06
2521,2016-11-09,2016-BADDV-0000085,Obs. VETRO STRATIFICATO TRASPARENTE 6+6,090.VST66,12,10.30.40.10.50,MQ,9.13,23.0,209.99
1735,2016-11-11,2016-BADDV-0000086,"CL6980 GUIDA INFERIORE A ""L"" GREZZO",091.NW2530,0,10.30.20.10.15,ML,1352.0,3.03613,4104.85
1735,2016-11-11,2016-BADDV-0000086,CL6981 PROFILO CARTER GREZZO,091.NW2535,0,10.30.20.10.15,ML,1956.5,0.73005,1428.35
